Kelompok Ikan,Nama Umum,Nama Spesies,Status Perlindungan Nasional,Appendiks CITES,Fakta Menarik,Lokasi,Gambar
HIU APPENDIKS CITES,Hiu Martil,Sphyrna lewini,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat hiu martil mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQviSr2UZZmWeU_g5h_S0VJcPghyi3ocMxn7e55-tqJEjiPt4U1biRmcI0hGGLkx-IxY1STafDahxbD6L4HB76DswjQEn-SwLo6Iwx4SxK_qPZOCTIEXw&s=10&ec=121643169
HIU APPENDIKS CITES,Hiu Martil,Sphyrna mokarran ,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat hiu martil mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6qJL9iZ98HIefZ1d4RdcUrDrkniVE-bS48sHrFnvcv0VRj4AoP2eHY_pXNPw-AW5BIt6UueNQSRb3C9IcaydzYWtAZajV6awI59E2TEnvOrvyfsc8&s=10&ec=121643169
HIU APPENDIKS CITES,Hiu Martil,Sphyrna zygaena,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat hiu martil mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb2eq7PstFrPjlW-rDLG4nyLHvAABH-DpwNyh0PHCOF3RS0LSx4CFrFEGKbNMJGlNJLgwPtitSyZu5Q7vMoN9nPKM9IyWJXmpA6I4OeqwuON_wR_gz&s=10&ec=121643169
HIU APPENDIKS CITES,Hiu Lanjaman,Carcharhinus falciformis,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat hiu lanjaman mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiw9FyWDWFoRpf4IXRIuh9SPZVRYfiykllQWR8L0gbp-J8bjkS72SARHxs5bjqgfy7MAMvcbYekz9qJlcSUn9VDe6jycEnmN2g_-Pe_FtFPDNMP9xz&s=10&ec=121643169
HIU APPENDIKS CITES,Hiu Tikus,Alopias pelagicus,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat hiu tikus mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-Zt6focUipLK9b4Ad0RqiwXdQcyw_ZINjleT15p4fx_MikwWiVCtZrve9ybA5_jQLOMGk-xK9jWGvFDqf4FWfEy8mi8RAqMzuc99HsN-T7wa4FOHo&s=10&ec=121643169
HIU APPENDIKS CITES,Hiu Tikus,Alopias superciliosus,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat hiu tikus mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJy7dK_wTAQJa2rhftFO4HaO6zpUQxHsnERexJ6c9LwUw7UBL7fwRApPnCIxlEMAhfDNb5Skg_OE5KJO8b-86ZYnHA8Q_Fin3sYD8P_TnArvtY2NSS&s=10&ec=121643169
HIU APPENDIKS CITES,Porbeagle Shark,Lamna nasus,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat porbeagle shark mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTC7nX3z5YOxBr1IxYkxt69e0OEhk4vSO-Aj9fjYGDSK7XzPJKH3ObPOjtlX3gH3SLEADrTQ1uBnij9WEKp1x6Wwj2lDBuvtHq8TkGwSpLXnUqnOoOC&s=10&ec=121643169
HIU APPENDIKS CITES,Hiu Putih Besar,Carcharodon carcharias,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat hiu putih besar mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQH6TP99f59ZoO2idT-8QwTv0eumWZGZ_hQTf84B3TQu5NRQ7FtVkLHQnRhYFYpkp9Q84sr3vBn10Vz7usJpuxhuZjbq_ti5BKncq1rpU5B_OlKXywq&s=10&ec=121643169
HIU APPENDIKS CITES,Hiu Mako,Isurus oxyrinchus,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat hiu mako mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVs5U9HbGPqOV6y253DK4YBKqd8Ah5Qp4rEMcaDzCQO3DFC3vxxMVDza4z-bSx7C5EA2TC6yVWk9MX-hYEhoPspJLTQDu0cyurNriBhNpICe-oXpFyJg&s=10&ec=121643169
HIU APPENDIKS CITES,Hiu Mako,Isurus paucus,-,Appendiks II ,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat hiu mako mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Banda,-4.52,129.9",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYCU27ZzwMBW2nETBuJCWLFUeUngdAoNN0sovnLLiK5NdlrDXGW6VQhiPikcAjNtuh9G9IWw3PoGgO19lf8Goe2uI-Hqrv5U7Opz-xo3htLAmOKh0l4w&s=10&ec=121643169
PARI APPENDIKS CITES,Pari Manta Oseanik,Mobula alfredi,Dilindungi Penuh,Appendiks II,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari manta oseanik mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzDZ7yja067KwAh_czvmTx7O5E5ZLwwFBmFFf1tb-Ks_LAGxHwAxuXILwGyQC0HDtLiTMmJFYdeMx2UysCZhrNYvYUyUeX9wBdS34tfqnA-NQf9Ba2Kg&s=10&ec=121643169
PARI APPENDIKS CITES,Pari Manta Karang,Mobula birostris,Dilindungi Penuh,Appendiks II,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari manta karang mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZTn1U26Q4saMMDYj1O0zr0UHVlSr-cGLAI4MwGpAiZMG5NXFzBO_vbApa7SMSnifjkM9lDNg4B2xlcDzfRlk_mzZv5cKyrvzcX5wu-32UitbOLvKgIw&s=10&ec=121643169
PARI APPENDIKS CITES,Pari Sungai Tutul,Fluvitrygon oxyrhynchus,Dilindungi Penuh,,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari sungai tutul mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLNjZQx2nR6Rlrk12Ve5W29NltuVl_IArkK4oSlgcZqjNpKfxTBgMtp6iApA85cqTj7_HGaruE51kHAv8j96bdKhJaWV9TOqlc6yd9hWRzm88HQvDG&s=10&ec=121643169
PARI APPENDIKS CITES,Pari Sungai Raksasa,Urogymnus polylepis,Dilindungi Penuh,,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari sungai raksasa mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNqOQjWyrNVUaoDu149OH4Wayy6a88AfLrw2y6ZbTmBdFcFA4Tg15khSIpWrPDMRME1aDo6n8lifxERpktF3nW0nkqu_SDZnD7hYMW59mmBMK7oYnV&s=10&ec=121643169
PARI APPENDIKS CITES,Pari Sungai Pinggir Putih,Fluvitrygon signifer,Dilindungi Penuh,,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari sungai pinggir putih mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwf6__ELCNCc-fJjhrmv3GaDYn1SLz8GEgX_J1HBxBPvCN6GR4Anzu5iJnAl9M_wJpxuOlQM_yZy1J1mifNc-7nDxDHk1tq7r000az7IpquDNaMTGe&s=10&ec=121643169
PARI APPENDIKS CITES,Pari Kai,Urolophus kaianus,Dilindungi Penuh,,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari kai mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49","data:image/webp;base64,UklGRhwEAABXRUJQVlA4IBAEAACwFgCdASpcAFwAPq0qq1WmJKYmFjDAFYljAMXAcpCJBr9R4ywNrDoj5gAwpBHQQ6x9LZY0P/nPVFKyCMgW7yvkC43Xy0Kxd05EznD8zbVxVnV0LopAWAlM/b91IZlDybDjkgg8BW3tPQktNEoyyl6AVQb6aPWfi3FlHl4+LrAjmU16RZBgGoxeA4ZxIOhrXXaq2cjnUXzX+kYuCoQqfzHQ8WbBghwxnBpii8akto6kg4Y8qsFk7XkMLzOiPC8AAP73BzhRoRHxmxi/koH+WL7D4E/VFBas6Yk5QpuMq3V9b74dhOJ6OOOe2pti5liR5Acb4SVQuWBzIJ96HQIVrT5ZiNhTFGnpKbDEFgj5zD59xLgC1+hTgAzbHeJWcZNT4t3YmqqpfF+CxCVZDIW9h400mqWwpvCDqn1eaMp7MatJfNLa8B6wke+rb69SB1Nfu4bLUIHBs5F7h9/88sme65KJybupG6N9Er7ode/iA8CAsx/R8Tf4JjRQY9929pUh1STLiK6Ff9faz8s7NYj5rNEKbJySrrWij9ydo/RxdVz9H2GoEUqhpYBHid8FWI0lXxkSzFPQfzI/2HasiWyUQiK2kdSfP+kc7pfkKILoofIGffM4Yo0Iw7wJ9L+SJW/G8AKgH20HH2EJBot28ZfWRm0pCD7KqYPpywTVxasnOvvWwVhgdCG1VwSFxSFIpNIORvYxGs3jjybxf3XlCsQn4OnDgfqyMg9Jp8/gfrasVhoyIQAuJSVeu4VIlzQx+iO7NYuYPKftnfrstYbWqxvccRIGrzEbr7UyPaQztbyah6WjSAg+wtYgIlVi/PJNdrsBQ/DCBTtPWwPhMNJwYaZ9evkIU7jQi5MrjNOO1fbnLseNuSLeDYs6ejFtZ/vESa6n9aPGwjzP+adjpCOiiNIjlNMMdsnsIWg42AOa9WeIbxtfu1QkFlPHiCZH61ZTSTiTDySv45QC09sBThC9/B9fwtgQ8wqtp+pTAnxOBMsAWOajhZCiVdb6h2tSZX9ZQhk9olMLqRtbEYCWuyFoGs2Slh+eDnESKLdu8zD6zMH4369zpk72H8Wj2I/UqgJlVtwawgP0PVaFssl4A5pZao6tmXZbxUO3nE0aK1pBgXj8zSOXkWWBx5lbKuQROzgdPTIYZd1EgNFkLZH4JDA7WY++GtskEuHe6vAXi0LZQIO8iwuyQKSwir9+OfeqWwa+0bGskNJyOx+iFP3L12wI4yAf0DHEzk7KxrgIFP+iJXp5Fx8OBrPBpkuxFiXSRi2ZbjBKqAQZgmVb2ux5kZuVmFRemuBdRt1K5COU0gBCC/dFPGBQMWvSBa5clkJiQaJPgw4hCNwJ+b2j3pBIqPjEXVH2OLZ1KNsUHkLYS/JfIKq0LxdMAA=="
PARI APPENDIKS CITES,Pari Gergaji Lancip,Anoxypristis cuspidata,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari gergaji lancip mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGzvwjgCHIw9XwaPeEqPGpWYXiFHEkW42AFpK7uQq6zx-Fccpm5YyG_xRmtm8-LrS0kWDL5jtIoIulz8Ny7ZevX5sRlaMTuI7tsuVAIp1DQ2nWpc_4&s=10&ec=121643169
PARI APPENDIKS CITES,Pari Gergaji Kerdil,Pristis clavata,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari gergaji kerdil mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSv9BFhQkyhxXaT_MFlOhZ129Ym877P-W47l3ioiUbt7H78PYzXsjs5NLDllPlzEJWYDhY_tn6-R3YNUZwqpVVqlwRFUfWgEoZ-lURefUQp14CydMom&s=10&ec=121643169
PARI APPENDIKS CITES,Pari Gergaji Gigi Besar,Pristis pristis,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari gergaji gigi besar mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQd1HaKfueRrvD7uWZnf4-WL5ga0-g_fTH17Nf-3S69aVlqC1-i4SJ9EXaUWQGAVUr7vbfM5b3jcccT0fvIbBx2z1kGye3WRIzDsrIKc_HxCDv03x-J&s=10&ec=121643169
PARI APPENDIKS CITES,Pari Gergaji Hijau,Pristis zijsron,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat pari gergaji hijau mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0W4XBFLF_w0ACefsJRNk87lCBUCiiUd0Z_lY9pcTm61Sh-kcLORGPZz4DgoiRmM9j_4md1yKgDZT2cqVfCCxSxl5p-QfarQ5sobCplc5vdiJXOcIL&s=10&ec=121643169
PARI APPENDIKS CITES,Spinetail Devil Ray,Movula japanica,-,Appeniks II,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat spinetail devil ray mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKrWSFEXUewAMYf-y2wL0XzGi3rXlML3fm4c_X2Y9iEo9UoEaWwvQ_XCoXMinxhOApD9mxdiVb2W34r2Bxn38DU4a9VPn3b6_-EfjKHu0QzAiqc62j7A&s=10&ec=121643169
PARI APPENDIKS CITES,Shortfin Devil Ray,Mobula kuhlii,,Appeniks II,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat shortfin devil ray mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRybS27rFqfcnwcyxvYlc-lOwlV_NUplCd38KDmNPvF3Q1y5vbrsBTZzfLtnLKD5mnNDbuSe7mmIUJaR5aNrLNjYQj7dn2n8Y_yw8XVskQqHsk9XkgN&s=10&ec=121643169
PARI APPENDIKS CITES,Sicklefin Devil ray,Mobula trapacana,,Appeniks II,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat sicklefin devil ray mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW0YaQxKN6iXBrfKzoQde6GwRDXWkqda8bk8kWnm3yXDF4sdoA_HoEA9U_G1Y8tMtH7gOASIYEsTwT6eLqhDTkicYWK6r1JUxs45uE4bftnymQF6csgQ&s=10&ec=121643169
PARI APPENDIKS CITES,Bentfin Devil Ray,Mobula thurstoni,,Appeniks II,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat bentfin devil ray mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bali,-8.409,115.188|Komodo,-8.55,119.49",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWJhV-9NXu_NfBcnPoAuQ7fcEk90fxWRSc_mRZMJk3k_yFb-zeSJadiYeB0MvYwWahrAXAu1CixTeuBy43T5R4lZrGzMPntlSb_n7MwQDXogQgYlE0&s=10&ec=121643169
